epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,275.818,2.57972,1.94392,2.37204,0.68426,0.60938,0.67828,0.38958,3.17538,2.45163,2.82226,0.0011684,0.0011684,0.0011684
44,280.967,2.83091,2.08251,2.41441,0.68932,0.65874,0.68119,0.40779,3.01616,2.49803,2.71802,0.0011486,0.0011486,0.0011486
45,286.648,2.66008,1.97557,2.36505,0.7909,0.65018,0.74279,0.41665,3.04001,2.26792,2.69207,0.0011288,0.0011288,0.0011288
46,292.341,2.64893,1.84393,2.30308,0.92018,0.65625,0.79558,0.45205,3.02731,2.23815,2.69407,0.001109,0.001109,0.001109
47,297.957,2.58588,1.94781,2.26974,0.78603,0.65625,0.76569,0.41652,3.12875,2.29317,2.7131,0.0010892,0.0010892,0.0010892
48,304.411,2.51499,1.78835,2.24019,0.64114,0.64062,0.64146,0.34775,3.3088,2.61048,2.83939,0.0010694,0.0010694,0.0010694
49,309.596,2.431,1.94515,2.27141,0.68724,0.60938,0.67631,0.31415,3.43693,2.68207,2.90313,0.0010496,0.0010496,0.0010496
50,315.981,2.44611,1.80464,2.23886,0.64249,0.70312,0.68111,0.35625,3.30056,2.43422,2.80252,0.0010298,0.0010298,0.0010298
51,321.034,2.47786,1.85461,2.27924,0.71437,0.64062,0.71215,0.37236,3.31265,2.48654,2.81683,0.00101,0.00101,0.00101
52,326.79,2.50259,1.83823,2.26181,0.67389,0.77496,0.75061,0.38108,3.13228,2.39177,2.88654,0.0009902,0.0009902,0.0009902
53,332.445,2.43685,1.78685,2.23871,0.77353,0.625,0.7252,0.39622,3.22636,2.41063,2.90919,0.0009704,0.0009704,0.0009704
54,337.54,2.5111,1.75251,2.29594,0.70814,0.75,0.73016,0.35605,3.21767,2.23944,2.87536,0.0009506,0.0009506,0.0009506
55,343.881,2.46634,1.84611,2.21954,0.67896,0.75,0.75059,0.38606,3.22498,2.17974,2.84595,0.0009308,0.0009308,0.0009308
56,349.078,2.51759,1.76715,2.25365,0.80544,0.71161,0.78014,0.41982,3.10203,1.98393,2.78614,0.000911,0.000911,0.000911
57,355.545,2.44759,1.58468,2.21985,0.7744,0.78125,0.77367,0.38196,3.16617,2.0727,2.78226,0.0008912,0.0008912,0.0008912
58,360.755,2.38045,1.72297,2.21837,0.64637,0.65625,0.67718,0.35582,3.13439,2.10302,2.79956,0.0008714,0.0008714,0.0008714
59,366.235,2.54891,1.72187,2.25117,0.80874,0.6875,0.76008,0.39355,3.11668,2.28433,2.74654,0.0008516,0.0008516,0.0008516
60,372.264,2.45482,1.62013,2.20744,0.8655,0.65625,0.74311,0.38021,3.25226,2.27828,2.80389,0.0008318,0.0008318,0.0008318
61,377.34,2.2824,1.58929,2.20432,0.76575,0.66407,0.72483,0.36437,3.20739,2.35224,2.81926,0.000812,0.000812,0.000812
62,384.151,2.20043,1.54319,2.16713,0.82579,0.64062,0.72993,0.38339,3.19963,2.1342,2.79392,0.0007922,0.0007922,0.0007922
63,389.279,2.25828,1.56793,2.15482,0.64766,0.78125,0.77224,0.42858,3.14671,1.92949,2.77488,0.0007724,0.0007724,0.0007724
64,395.791,2.22323,1.5093,2.1297,0.90782,0.71875,0.81652,0.41812,3.27307,1.80885,2.88823,0.0007526,0.0007526,0.0007526
65,400.911,2.25075,1.57097,2.17236,0.72872,0.75556,0.79631,0.39523,3.40024,1.82848,2.93831,0.0007328,0.0007328,0.0007328
66,406.474,2.23375,1.66602,2.24497,0.85511,0.73779,0.84908,0.42308,3.35297,1.8324,2.97122,0.000713,0.000713,0.000713
67,412.319,2.17525,1.4629,2.1314,0.9136,0.67188,0.82541,0.41337,3.30821,1.80695,2.92802,0.0006932,0.0006932,0.0006932
68,417.472,2.25142,1.52071,2.1276,0.64915,0.69389,0.72431,0.35783,3.3787,2.29816,2.91768,0.0006734,0.0006734,0.0006734
69,424.097,2.17435,1.46134,2.11871,0.76387,0.65625,0.74601,0.36503,3.39316,2.18284,2.91564,0.0006536,0.0006536,0.0006536
70,429.346,2.12807,1.47428,2.11324,0.81624,0.76346,0.77637,0.38777,3.2705,2.05818,2.89097,0.0006338,0.0006338,0.0006338
71,435.925,2.33193,1.52257,2.27857,0.89111,0.67188,0.80048,0.43091,3.059,2.08283,2.7872,0.000614,0.000614,0.000614
